post_number,post_id,datetime,user,text
133,18456679,09/06/2011 7:31,Bruce Abbott,"CO2 is a , then it causes global warming burning a fossil fuel releases sequestered CO2, then it contributes to global warming Mankind is burning fossil fuels, then Global Warming is caused by Mankind tells me that this is , and I have no logical reason to deny it cars burn fossil fuel, electricity is generated by burning fossil fuel, products are manufactured and transported by burning fossil fuel, Global Warming is caused by makes me feel guilty feeling guilty I vote"
134,18456882,09/06/2011 8:05,Victory Pete,An Inconvenient Truth a http en wikipedia org wiki An Inconvenient Truth target blank http en wikipedia org wiki An Inconvenient Truth a VP PS I havent even seen this movie yet I became aware of the Greenhouse Effect in the 1980's while reading National Geographic
135,18456936,09/06/2011 8:14,Griffin,"An inconvenient long list of If's, and even if every one is correct, there is no value placed on the amount of change caused by fossil fuels Is it 1 billionth of a degree temp change, or 5 degrees Or are you operating under the assumption that humans should feel guilty for any microscopic impact their existence has on this rock in space Steve"
136,18456973,09/06/2011 8:20,RumRunner_1492,That movie has been proven to be factually wrong in many areas It was more propoganda than documentary
137,18457002,09/06/2011 8:24,RumRunner_1492,You took a huge leap in your logic Just because CO2 has recently been declared a greenhouse gas and some human activities create CO2 does not mean that the CO2 is creating global warming It might possibly be contributing in some way but that is it There are many other things that could create the affect that have nothing to do with humans and those things have a much larger impact on the climate than CO2
138,18457067,09/06/2011 8:36,madsci_guy,"If CO2 is a greenhous gas, then u breathing u causes global warming Anyone serious about stopping global warming should stop breathing, or at least learn to exhale less CO2 than they take in"
139,18457330,09/06/2011 9:17,Mars Rover,I just went outside for a legal smoke and saw Satan suckin' on a popsicle
140,18457408,09/06/2011 9:25,FrankC,Don't plants inhale CO2 and exhale oxygen Won't an increase in CO2 cause an increase in what consumes CO2
141,18458142,09/06/2011 10:46,madsci_guy,"Sure, more CO2 allows the same plants to thrive at higher altitudes"
142,18459018,09/06/2011 12:36,daddiozz,"that was kinda my point with my comment much earlier in this thread about the few trillions of other life forms on this here lil mud ball of ours trillions of trees and blades of grass and corn stalks and marijuana plants etc etc etc all breathin in co2 at a rate as fast as we can produce it global warming is real ,but not manmade"
143,18459192,09/06/2011 12:57,Captain Dunsel,"I'm a retired meteorologist, with an extensive background in climatology I'm not up to date on all of the latest research, but I do try to at least keep some semblance of currency in it What I'm seeing is that, yes, the climate is warming Yes, CO2 does contribute to the warming But, the extent to which man made CO2 is affecting the warming is still unclear Several other known factors are at work Amongst them 1 The solar constant has been shown to be inconstant, so that we may be getting more insolation solar input than a century ago 2 There are other greenhouse gasses how their quantities change in the atmosphere is still not known with any great certainty 3 The scientific community still doesn't know what other factors could be at work In my day, I saw the discovery that mesoscale convective complexes were actually a vital factor in redistributing solar energy, when previously they'd been thought to be no more than noise level factors It may be correct that mankind is to blame on the other hand, it may well be another factor or combination of factors that could be the cause Whatever it is, though, I am deeply suspicious of leaders who want us to jump to follow their extensive cures, when we don't really know if they'll work I agree that conservation is good there are lots of other things petroleum could be used for, other than fuels But, I'm just not convinced that CO2 production from combustion is the key CD"
144,18459354,09/06/2011 13:16,Victory Pete,I will form my own opinion if and when I see it VP
145,18459463,09/06/2011 13:30,RumRunner_1492,"Watch it with an opn mind and not drinking the Kool aid Below is a link to 35 errors with Al Gore's movie I have never heard of a documentary having so many things wrong with it Some were blatant mistakes, others were intentioanally meant to mislead and others were simply stupid made up facts a http scienceandpublicpolicy org monckton goreerrors html target blank http scienceandpublicpolicy org mo oreerrors html a"
146,18461459,09/06/2011 17:50,Park_Flyer,"Yeah, it was parked in the sun, but still"
147,18461525,09/06/2011 17:58,Jim Thomerson,Here is a link to discussion of the number of errors in Inconvenient Truth Not everyone agrees that there were 35
148,18461625,09/06/2011 18:11,LcJ,A global breathing tax But for all those rich folks who make more than minimum wage will have to cover the breathing tax for those who don't The Breath of Life Tax
149,18461898,09/06/2011 18:50,daddiozz,what was the co2 while it was parked in the sun smilies wink gif 0 Wink
150,18461927,09/06/2011 18:53,Park_Flyer,Not sure I did exhale and fart before I got out in the morning so
151,18462022,09/06/2011 19:04,MtnGoat,"Apparently Greens are pushing to have the Aussies slaughter a heck of a lot of camels as sacrifices to the Dark Lord of Green This being masquerades as an evolved light bringer, but those serving him always wind up extolling limitations, bondage, deprivation, transfer of power to elites, soft tyranny, and the reduction of the number of humans"
152,18462188,09/06/2011 19:23,LcJ,You carbon dioxider and methanizer smilies eek gif 0 EEK Did you just fart once that is usually that is just a starter for me smilies biggrin gif 0 Big Grin
153,18462276,09/06/2011 19:35,Park_Flyer,"With what, knives with blades not to exceed 3 inches"
154,18462530,09/06/2011 20:07,Bruce Abbott,
155,18462563,09/06/2011 20:10,n00b-E,Anyone paying attention in the last decade knows that this isn't exactly out of the realm of possibilities smilies rolleyes gif 0 Roll Eyes Sarcastic
156,18462682,09/06/2011 20:23,Bruce Abbott,"It's also not 'out of the realm of possibilities' that the moon landings were a hoax, or that Bush ordered the attack on the World trade Center, or that the Holocaust didn't happen But no sensible person would consider such wacky ideas to be at all likely"
157,18462700,09/06/2011 20:26,n00b-E,"Oh, of course not smilies rolleyes gif 0 Roll Eyes Sarcastic Heaven knows that the scientific community reaches consensus and declares an issue settled with regularity"
158,18462762,09/06/2011 20:34,Heydick,"For every scientist that says the earth is warming because of mankind, there's another one that says that's hogwash One thing that is certain in this debate The science is NOT clear"
159,18462867,09/06/2011 20:45,Metieval,I blame Climate change on Election years and all the unneeded campaign BS talk smilies biggrin gif 0 Big Grin
160,18463117,09/06/2011 21:18,Bruce Abbott,"Yes, that is correct The science is 'settled' on a lot of things of course that doesn't mean that research is finished in those areas there's always more to learn Why the scare quotes around scientific , do you think it isn't"
161,18463141,09/06/2011 21:21,Treetop,"What a difference 60 days makes Remember when Louisiana was flooding Kind of an extreme swing here At least, no storms, no tornadoes"
162,18463259,09/06/2011 21:37,Bruce Abbott,"You have any evidence for that assertion Did you get this idea from the News Media If so, then I'm sorry to say that you have been a http en wikipedia org wiki Scientific opinion on climate change target blank misinformed a"
163,18463266,09/06/2011 21:38,beenflying,"Or is CO2 just a byproduct of global warming, which is cause by the sun, in a solar max cycle But has anyone actually proved that there is global warming Isn't that why they've change it to climate change, so they can have the best of both worlds"
164,18463302,09/06/2011 21:43,Aaron 1,"I ignore it There is nothing to be done about it anyway The real killer is population growth and finite resources Yet I've seen posts here by what I think are smart people, saying no problem, go forth and multiply So are they right and am I wrong They used to grow Grapes in England not to long ago as History goes The weather shift here as really messed up my flying I kid you not I just bought a Harbor Fright windmill to power the house Think it will work"
165,18463322,09/06/2011 21:45,Jim Thomerson,"So far as I can tell there a few people who know what they are talking about who have problems with the idea of climate changes as most of the knowledgable people understand it This is always the case in science I'm beginning to see more predictions that weather will change in certain ways in certain places over the next x number of years These kinds of specific predictions suggest two things first information and modeling has progressed to the point that such predictions can be made Secondly, now that more specific predictions are being made, it will be easier to see which are false and correct the models and information to conform to reality I think that climate change is real and that it will have considerable human consequences It is probably human driven, but it doesn't make any difference whether it is, because nothing substantive will be done to mitigate climate change It may, in fact, be to late to do anything, that the tipping point is in the past rather than the future So, the best one can do is to be as informed as one can manage, and try to plan and maneuver in such a way as to profit from what ever happens"
166,18464082,09/06/2011 23:48,Treetop,"We would be in err to judge from the naysayers in this forum what the general public in the US thinks about climate change Also, even that stated preference is probably without real knowledge of what is necessary to try to mitigate the repercussions by attempting to change the dynamic that is blamed for adding to it The issue to me is this is the real point of departure from the old industrial revolution dynamic, which has become detrimental to our economy from many directions What kind of future we have depends on making decisions to plan that future There are those who are making great profits by delaying any changes, they are not going to stop them, but every year, every month they gain in not changing the current way we exist, based on the realities of the availability of cheap labor, disregard for the environment, whether that is done here or abroad, in our name, and in order to serve our needs, and of course the cheap resources of the past, becoming very valuable, are what are driving the desire for roadblocks being tossed in front of us It is remarkable to me, considering the innovations that came from America in the old industrial revolution, that we would be the, as it has been presented by someone in this forum, in the form of an article, the Europeans of the last industrial revolution, clinging to the past, as a protectionist motivation This is the time when we either depart, or move ahead in a new direction The problem is we do not have the resources, financially, to get to work on changing from cheap energy to clean renewable energy, and we really have missed the boat on all those known viable solutions, with the exception of some sort of safer, smaller nukes which don't seem to be very much on the front burner, this is basically a technology we have the most expertise in, due to the use of them in the Navy The question is how will we fund changing to a new path, taking a leading roll in the new industrial revolution The longer we maintain the current model, the worse things will get for us Of course, there is a yin yang to everything A long recession and people learning to live more frugally, use less energy, even resort to actually having one full time parent in the home, can bring about positive results in an austerity economy will use much less of fossil fuels As folks look to economize, they will reset the thermostats, create their own entertainment, even perhaps take a long view of supporting oppressive regimes overseas who supply us with throw away items that waste resources and trade damaging their own environment for our dollars, and in return, we get more waste, more throw away consumer items, almost everything has hit the denominator of low price and marginal quality, designed to need replacing in the short term, taxing further the resources to build, package, ship, stock, sell, use, toss, and repeat We could become more involved in our children's lives and really take a responsibility for their education They will need it We have given them a lot of problems to solve Hopefully we can prepare them to solve those problems once they inherit them"
167,18464433,10/06/2011 1:08,debogus,"people learning to live more frugally It is a blessing to have learned something from grandparents that lived through the depression I have learned to do with so much less and to put all of the skills and tools acquired to use at fixing everything myself instead of replacing it Internet is knowledge and you can do everything Learn something new, how to make This year I learned how to cure olives, made my own insulation blower as well Rent one, not for long term , buy one , you have got to be kidding"
168,18464744,10/06/2011 2:43,DT56,Folks who think humans are harming the planet could always set an example of the true green spirit and eliminate themselves as a factor What more noble sacrifice could be made in the name of the planet
169,18465044,10/06/2011 4:40,Bruce Abbott,"By becoming sufficiently 'green' that the sum of their activities has a positive effect That's what you meant, right Because we wouldn't want anybody to misconstrue the phrases 'eliminate themselves' and 'noble sacrifice' to mean that you are advocating i suicide i smilies eek gif 0 EEK"
170,18465055,10/06/2011 4:42,Victory Pete,"I am confused, didnt you vote No VP"
171,18465675,10/06/2011 7:25,dLdV,Bruce is a master of inscrutability He is often in mirror mode Did I get the Weird Post of the Day Award
172,18466100,10/06/2011 8:39,n00b-E,"When it comes to the CRU, that is exactly what I think"
173,18466127,10/06/2011 8:43,Victory Pete,You and many others VP
174,18467145,10/06/2011 10:53,Eljimb0,"We are on page 12 now It is time to take this turkey out of the oven and declare victory, We win, Sorry move on move on"
175,18467519,10/06/2011 11:33,RumRunner_1492,ncodeimage resized http woody typepad files greenhouse gases in atmosphere jpg h 1v BwUHUgADz2re5WbGWFw 0 onload NcodeImageResizer createOn this ncodeimage resized http woody typepad files atmospheric co2 sources jpg h eyNfeMhdXMVl7e7WSYPipw 0 onload NcodeImageResizer createOn this
176,18467573,10/06/2011 11:38,RumRunner_1492,Those same predictions said Katrina was because off global warming and we can expect more and bigger hurricanes as the norm because of global warming How accurate has that been We have had some very calm US land making hurricane years since Katrina It has dropped to almost nothing Those were some great modeling predictions
177,18467758,10/06/2011 11:59,debogus,"18467758 20px 5px 2px Quote 5 0 0 100 alt2 1px Because we wouldn't want anybody to misconstrue the phrases 'eliminate themselves' and 'noble sacrifice' to mean that you are advocating suicide If he's not I am Short sighted nonsense Coal powered electricity producer is taking 6 plants off line due to zeros epa agenda By by jobs ,and a increase in electricty cost sure to follow exactly what Obama promised Is neat that exports of coal are up,as some countrys on u our planet u aren't controlled by short sighted agenda driven fools"
178,18467812,10/06/2011 12:06,Victory Pete,What do you win A medal for being unrealistic and assuming Congratulations VP
179,18468210,10/06/2011 12:53,Treetop,"You do need to research the subject of the coal plants in Texas, while I don't claim any expertise, all that change happened before Obama, and was an internal political issue, not an EPA issue"
180,18468511,10/06/2011 13:27,shawnc,"Ain't that the truth I suspect a lot of people get their information about climate change from hearing the fabricated debate about its legitimacy The media, in general, feels the obligation to present all sides of debates controversy increases ratings, sells advertisement Some of the media and government are in the pockets of fossil fuel industry, so their will always be to deny The result is that the public sees what appears to be a two sided debate Science doesn't respect all sides it respects the data Shawn"
181,18468555,10/06/2011 13:32,shawnc,"Except that I see that the atmospheric concentration of CO2 has increased 20 since the early 60s the graph is in this thread, easily googled also , and CO2's small impact is significant despite your obfuscation Shawn"
182,18468564,10/06/2011 13:33,PilotKeeg,I am not sure if you have noticed but global warming is considered fact by i almost all i of new sources The public doubts the legitimacy of global warming because of the huge one sided push for ridiculous regulation of human activities
183,18468703,10/06/2011 13:47,Treetop,"The media is taking on the roll of stooge, when presenting two sides of a debate, an interviewer, rather than a person who sits and listens, would prepare for the interviews, and point out inconsistencies brought to the debate from either side That is sadly either missing, or in some cases the media is actually adding to the misinformation It all goes hand in hand with a position of advocacy of some issues, the decision to all but eliminate investigative journalism and the for profit nature of news shows today, compared to TV news before cable"
184,18468718,10/06/2011 13:49,Treetop,"To be fair, the description of the ridiculous regulation , just as you have presented it, is a lot of propaganda as well, not that it would not be difficult, but the exaggerations abound from the other side"
185,18468732,10/06/2011 13:52,shawnc,Data to support your opinion Shawn
186,18468832,10/06/2011 14:06,Gooroo,The biggest percentage wise greenhouse gas is water vapor The CO2 is minimal and largly released from the oceans as they warm up The warming trend is primarily due to the sun
187,18469202,10/06/2011 14:58,Victory Pete,"And the Global Warming induced by C02, it is a vicious cycle I cant believe how humid it is now in the summer VP"
188,18469209,10/06/2011 14:58,P-51C,"So, you are actually saying that the sun warms the earth smilies confused gif 0 Confused What a radical thought Next thing you will try to tell me is that the earth is a sphere and not some sort of flat surface smilies eek gif 0 EEK"
189,18469237,10/06/2011 15:03,Victory Pete,It is also heated internally by radioactive activity VP
190,18469572,10/06/2011 15:44,kita,"Its not really a matter of if global warming is real is caused by burning gas etc The main worry is the pollution in the air and the thinning of our ozone layer, which is pretty clear to see And even if that is to be ignored it doesn't take a scientist to be able to understand some simple laws Using up energy wastefully Yes, even green energy is harmful"
191,18470449,10/06/2011 17:47,DT56,"Just call it something progressives can be comfortable with, a late term abortion to save the life of the mother, Gaia"
192,18470563,10/06/2011 18:03,Jim Thomerson,"I read many years ago that the amount of oxygen in the air was about what would be expected from 8000 years of photosynthesis and no respiration production of CO2 Obviously that was not the case, but there has been some sort of imbalance over a period of time Plants need a minimum concentration of CO2 to be able to photosynthesize So there always needs to be some CO2 in the atmosphere CO2 concentrations are increasing for several possible reasons or combination of reasons Amount of photosynthesis is decreasing amount of added CO2 is greater than plants can absorb, or both Considering deforestation for agriculture, desertification, and pollution of lakes, rivers, and oceans, it may well be that amount of photosynthesis is decreasing This is contrary to the idea that photosynthesis, on the global scale, will increase with increased CO2 levels"
193,18470617,10/06/2011 18:12,Treetop,That's interesting Jim
194,18470830,10/06/2011 18:44,Bruce Abbott,"This is argument from ignorance You cannot 'know' that CO2 is insignificant compared to water vapor, the Sun blah blah, just because they have bigger numbers To find out what the real effect is requires a lot of measurements, experimentation, calculations and models etc , in order to develop a proper understanding of the mechanisms involved IOW, b Science b Luckily we don't each have to spend a lifetime trying to do this ourselves We have i actual i scientists doing the work for us You can be an 'armchair scientist' who tries to draw conclusions based on a few numbers and graphs you found on the Internet But I guarantee that you will get it wrong"
195,18471618,10/06/2011 20:35,PilotKeeg,"I believe that, with time the whole global warming issue will fade away, people will just not see effects of it because even man is contributing to a general warming trend in our climate, I do not believe that it will rise enough or even at all to cause problems in our future We should not inhibit the technological progress of mankind to solve global warming Our understanding of the universe is expanding at an exponential rate, technology is advancing such that, in perhaps 100 years gas, coal, natural gas and wind technology will be outdated and unused with nuclear fusion, solar power and hydrogen fuel cells powering our world To me it is a shame that resources should be wasted on this issue I think that we should project our resources onto more significant things such as exploring our solar system We should not try and fix a problem that we may not even really know about yet"
196,18471933,10/06/2011 21:21,beenflying,Well said
197,18472765,10/06/2011 23:26,debogus,"As a long term goal sure But right now at this point in time not the brightest move The way they are going ,in 50 yrs the climate will be the least of their worries Problem with social engineers is they cant see the big picture because their agenda gets in the way"
198,18473013,11/06/2011 0:13,daddiozz,"planning and profiting seem to be the operative words here , how many billions have been made by those cashing in on the whole issue and what plans do they have to keep the money tree thriving"
199,18473186,11/06/2011 0:57,dLdV,"Not many Research scientists aren't paid as much as you might think As far as green manufacturing, it's a drop in the bucket compared to the big fossil fuel operations Who really has a bigger stake in this"
200,18473213,11/06/2011 1:03,Indiana_Geoff,"In other words, don't do what you just did in your"
201,18473535,11/06/2011 2:43,Bruce Abbott,"I am not a scientist, nor do I pretend to be one You must be confusing me with b RumRunner 1492 b It was he who posted a couple of pie charts, then wrongly concluded that CO2 cannot significantly affect climate"
202,18473738,11/06/2011 3:59,Bruce Abbott,"18473738 20px 5px 2px Quote 5 0 0 100 alt2 1px Originally Posted by strong PilotKeeg strong I believe that, with time the whole global warming issue will fade away, people will just not see effects of it because even if man is contributing to a general warming trend in our climate, I do not believe that it will rise enough or even at all to cause problems in our future You can believe what you want, but that won't make the issue go away Global warming is real, will continue, and is i already i causing problems That is a a http climate nasa gov effects target blank fact a 20px 5px 2px Quote 5 0 0 100 alt2 1px We should not inhibit the technological progress of mankind to solve global warming I agree We i need i technological progress to solve this and many other problems that we are facing What we don't need are Luddites who refuse to accept new technologies, Greenies who believe that 'getting back to Nature' is the whole answer, or Ostriches who think that sticking their heads in the sand will make it all go away 20px 5px 2px Quote 5 0 0 100 alt2 1px To me it is a shame that resources should be wasted on this issue I think that we should project our resources onto more significant things such as exploring our solar system It is always a shame when resources are wasted, and exploring the Solar System has its merits Bush wanted to waste resources putting more men in space, whereas scientists wanted unmanned probes that give more exploratory 'bang for the buck' Scientists also want to do something about global warming Various grand schemes have been proposed that might 'fix' the problem eg hanging a giant umbrella in space, seeding the oceans with iron but these solutions tend to be very expensive and i extremely i wasteful if not successful More research is needed before committing vast resources to any 'big fix' solution Most scientists accept that we can't just stop using fossil fuels overnight, and they know that 'green' tech needs to be efficient and cost effective They also know that doing nothing is the i worst i option In the long run, it would be by far the most wasteful 'solution' 20px 5px 2px Quote 5 0 0 100 alt2 1px We should not try and fix a problem that we may not even really know about yet The procrastinator's philosophy smilies frown gif 0 Frown Fossil fuels are effectively running out anyway, as they will eventually become too expensive to extract This will happen no matter what global warming does, and at some point we will i have i to move to other technologies It will be much less painful to make the transition smoothly, rather than wait until the crisis point So why not start doing something about it i now i Please note that I do i not i agree with the government injecting massive amounts of tax money into 'think big' alternative energy solutions such as 4000 nuclear reactors, a 'Hydrogen Economy', or state owned electric car factories Their role should be limited to providing advice, leveling the playing field eg stop giving tax breaks to the fossil fuel and nuclear industries and sensible legislation that removes barriers to the deployment of 'green' technology"
203,18474006,11/06/2011 5:30,Victory Pete,We should Bury our heads in the sand VP
204,18475105,11/06/2011 9:48,Indiana_Geoff,"Again, you are not a scientist, but you can wrongly conclude"
205,18475569,11/06/2011 11:00,Norman Adlam,"Hmmm yet again so much of this ends up in a 'pissing' match The poll was about 'do you ' Plainly some people 'think' it is and some people 'think' it isn't It didn't read show how you are right and the other guy isn't From there it has to go on to but I'm right and you aren't , like it's some kind of competition, and you are either on one team or the other Fer Gawd Sake, people, have the good grace to just listen and accept the others viewpoints, will ya'"
206,18475641,11/06/2011 11:09,Victory Pete,The Voice of Reason VP
207,18475748,11/06/2011 11:24,saltyzoo,"Reason It makes no sense, so it's hardly reason Which ones should just listen and accept the others viewpoint and which should be allowed to express their viewpoint I wonder"
208,18475840,11/06/2011 11:38,Victory Pete,That is your decision VP
209,18475891,11/06/2011 11:45,saltyzoo,What decision Do you even know what you are talking about
210,18476150,11/06/2011 12:21,Looooeeee!,"I think should be called it for what it was, a troll"
211,18476194,11/06/2011 12:29,Looooeeee!,"One has to understand that this big fusion furnace is a remarkably i stable i heat source, which it's thermal output is also remarkably stable And since we're well into what's known as Solar Minimum cycle, which is about the extents of it's meager difference in output, where is the extra heat coming from You also must agree that as it has been getting warmer, and if you are taking this tack, that the science and numbers behind the sun's output aren't supporting your point"
212,18476246,11/06/2011 12:38,Cherryplum,"Seems extreme and comical, even burning a torch for the Olympics creates to much global warming carbon for some Global Warming Panic Inducer 2012 Olympic Torch Not Low Carbon"
213,18476278,11/06/2011 12:43,Norman Adlam,"And that is exactly the point, Salty smilies rolleyes gif 0 Roll Eyes Sarcastic How about b both b should listen what the other guy thinks, and to see if anything useful is in what they say to add to their own store of knowledge and help modify extend their own opinion What you expressed was exactly the someone's right, and it's me one sided BS that gets thrown around here smilies mad gif 0 Mad So many amateur armchair scientists who know i no more i than anyone else, who have ' b The Answer b ' and intend to jam it down everyone else's throat Have you guys got any conception on what a 'discussion' is smilies frown gif 0 Frown"
214,18476320,11/06/2011 12:49,Victory Pete,"Yes I do know what I am talking about, I can make decisions on my own Can you VP"
215,18476341,11/06/2011 12:52,Victory Pete,A lot of small changes may make a difference VP
216,18476414,11/06/2011 13:05,dLdV,"Here is an excellent article on volcanoes and climate Volcanoes have a cooling effect on the climate, unless there are many many of them as in the basaltic flood, which was a really long time ago It does mention that human CO2 production is much much greater than volcanic activity accounts for If anyone cares, it's easy to distinguish volcanic carbon from fossil fuel related carbon, because they have distinguishable isotopes Armchair Scientist"
217,18476457,11/06/2011 13:12,Victory Pete,"Interesting, thanks for the link Just this morning on the Science Channel I was watching When the Earth Erupts VP Sofa Scientist PS Ben Franklin was The Man"
218,18476471,11/06/2011 13:15,Norman Adlam,"Armchair Scientist Sofa Scientist OK, guys Slaps coming your way"
219,18476518,11/06/2011 13:22,Victory Pete,Okay I am a DeskTop Scientist also a http environment nationalgeographic environment global warming target blank http environment nationalgeographi lobal warming a Google can be such a useful tool when used appropriately VP
220,18476579,11/06/2011 13:31,Victory Pete,Take this quiz to see if you are up on the facts VP
221,18476744,11/06/2011 13:58,PilotKeeg,"Poverty is the biggest contributer to pollution, who worries about pollution when they struggling to feed their family The green crusade is ignoring this sector of civilization, instead crusifying the industries that have powered us to our heightened state of existence today"
222,18477436,11/06/2011 15:59,Treetop,"That is illogical The poor, even en masse cannot afford the fuels to make carbon emissions on the scale of industrial societies Are you talking third world poor or our best off poor on the planet as they have been described here in LTUP, those poor in the US"
223,18477482,11/06/2011 16:07,Norman Adlam,Especially as the US uses almost as much energy as all the rest of the Worlds countries added together smilies frown gif 0 Frown With China increasing rapidly a http nationmaster graph ene pri ene con mil ton oil equ consumption million tonnes oil equivalent target blank http nationmaster graph en oil equivalent a
224,18477557,11/06/2011 16:18,RumRunner_1492,20 of almost nothing is still almost nothing
225,18478916,11/06/2011 20:03,dLdV,"I don't like this guy's tone, but he's pretty good when he sticks to the lesson plan"
226,18479320,11/06/2011 21:00,daddiozz,"I could say the same for the science and numbers behind the point that mankind i responsible for global warming as well possibly ,maybe contributing to it in very a small way but no where near fully responsibile for it I 've traveled extensively all around the world in my 54 years and i've made a few observations it still continues to snow in the areas where it has always snowed ,and it continues to be hot in the areas where it has always been hot Thru the years there have been a few minor differences in the climate from time to time ,but overall things stay more or less than same all over 20 30 odd years or so ago ,global cooling was all the rage, climatoligists were all claiming we were all heading towards a new ice age ,and it wouldn't be long before we'd see a massive exodus of those moving south to escape the new glaciers Now things are in reverse forgive me if I seem somewhat skeptical about where mankinds rol e in all this plays out"
227,18479470,11/06/2011 21:23,Treetop,"I like the science presented, good graphical work too, makes it easier to visualize This one is interesting as well"
228,18479541,11/06/2011 21:37,dLdV,"The insurance industry is looking to count the cost So is the pentagon Note that paragraph 3 foreshadows recent events in the Mid East I personally believe the rebellions had as much to do with the high cost of foodstuffs, owing to a poor harvest in the northern hemisphere last year, as they did with political dissatisfaction"
229,18479569,11/06/2011 21:43,Jim Thomerson,"One of the general predictions is that extreme weather events will become more common I saw on the weather channel a while back that there is an increasing rate of new local weather records, with the majority being warmer records So that prediction is looking pretty good"
230,18479609,11/06/2011 21:48,dLdV,"There is some kind of tree killing bug in the pine barrens that used to freeze out in the winters, so we were out of their range We are not getting the sustained cold that used to kill them"
231,18479641,11/06/2011 21:51,dLdV,"I read that some time ago in another source, though I forget where The ratio of new highs to new lows is increasing We can say with a good deal of certainty we are getting warmer How much warmer we will get by and by is the big question, yeah"
232,18479690,11/06/2011 22:00,rick.benjamin,"I, am a Rocket Scientist In fact, I've been called that Fxxxxxx Rocket Scientist"
233,18480098,11/06/2011 23:16,Treetop,"One of those links was talking of increases of lyme disease and malaria I have changed my mind about the heat island and the loss of trees in Atlanta, after seeing that video and looking at the temperature changes While I know those things exist, and do effect local weather, as observed from weather radar, it isn't related to global warming, it does raise the temp in the city and delay the cooling effect of the evening by storing heat, but that doesn't explain the increase in droughts and hot spells, earlier springs, shorter springs and falls, and longer summers, and record high low temperatures outside the metro area"
234,18480458,12/06/2011 0:34,shawnc,"The warming side of the warming not warming argument is supported by vast, truly vast amounts of data The no warming side is a political effort I feel some of the effort of the no warming side is valid e g why make xxx decisions regarding climate change Sure that's valid, but denying the fact of climate change isn't supported by the data, so it's not worthy of equal time, from a scientific standpoint Shawn"
235,18480475,12/06/2011 0:38,shawnc,"Bummer Something similar, if not the same disease has been ravaging the forests here for years It used to come and go and affect limited areas Now it's endemic throughout most of Colorado smilies frown gif 0 Frown Shawn"
236,18481164,12/06/2011 4:19,Eljimb0,look up endemic
237,18481317,12/06/2011 5:14,Treetop,What do you find
238,18481323,12/06/2011 5:15,Victory Pete,"I still think it is peculiar that most of the arrogant, spiteful, argumentative, rude, and rebellious responses seem to come from the naysayers The other camp seems to be more careful, thoughtful, and objective in their responses Coincidience vp"
239,18481792,12/06/2011 7:24,saltyzoo,Rotflmao Good one
240,18481803,12/06/2011 7:26,Sport Flyer,"18481803 20px 5px 2px Quote 5 0 0 100 alt2 1px Originally Posted by strong vp strong I still think it is peculiar that most of the arrogant, spiteful, argumentative, rude, and rebellious responses seem to come from the naysayers The other camp seems to be more careful, thoughtful, and objective in their responses Coincidience vp That's because their 'belief' is both political and faith based Not a good combination when it comes to logical discussion"
241,18481808,12/06/2011 7:26,Sport Flyer,See
242,18481997,12/06/2011 8:00,Griffin,"Both of you are being far to hard on the humans suck and cause global warming religion It's mostly based on faith in some unproven ideas and guilt about modernity, so it's no wonder some are so illogical Notice how much calmer the sceptics are basically all saying that we need a little more science before we jump to conclusions about the cause of the recent minor uptick in temperatures Steve"
243,18482621,12/06/2011 9:40,crypto666,"If it helps you sleep at night, please realize that we have had far fewer wildland fires of the past century and a large increase in woody biomass in North America So that off sets the CO2 See it is all ok One volcano can emit enough carbon to make hybrid vehicles look like joke"
244,18482681,12/06/2011 9:49,cyclops2,We are certainly converting a lot of carbon based fuel to the CO2 as fast as possible Oil is used to make EVERYTHING today Even skins for Sausages hot dogs
245,18482714,12/06/2011 9:53,dLdV,Where did you hear this
